geo,time,sl_uem_neet_fe_zs
slv,2012,39.62
slv,2013,37.87
slv,2014,40.24
slv,2015,41.24
slv,2016,40.26
slv,2017,40.95
slv,2018,39.14
slv,2019,39.82
slv,2020,37.87
som,2019,49.73
srb,2008,21.29
srb,2009,21.66
srb,2010,19.45
srb,2011,19.99
srb,2012,21.23
srb,2013,19.8
srb,2014,20.47
srb,2015,20.06
srb,2016,18.67
srb,2017,17.66
srb,2018,17.51
srb,2019,16.19
srb,2020,15.09
srb,2021,15.71
sur,2016,18.82
svk,2003,17.11
svk,2004,17.99
svk,2005,17.33
svk,2006,16.03
svk,2007,14.11
svk,2008,12.54
svk,2009,12.92
svk,2010,14.42
svk,2011,13.74
svk,2012,13.07
svk,2013,13.12
svk,2014,12.84
svk,2015,14.17
svk,2016,13.7
svk,2017,13.83
svk,2018,12.05
svk,2019,11.58
svk,2020,11.65
svk,2021,11.42
svn,2003,7.46
svn,2004,7.6
svn,2005,9.71
svn,2006,8.63
svn,2007,6.58
svn,2008,6.23
svn,2009,6.94
svn,2010,6
svn,2011,6.3
svn,2012,8.8
svn,2013,8.56
svn,2014,9.15
svn,2015,9.05
svn,2016,6.95
svn,2017,6.26
svn,2018,7.22
svn,2019,8.14
svn,2020,8.53
svn,2021,6.37
swe,2003,6.42
swe,2004,7.56
swe,2005,13.56
swe,2006,9.03
swe,2007,7.44
swe,2008,8.18
swe,2009,9.45
swe,2010,7.55
swe,2011,7.49
swe,2012,7.78
swe,2013,7.15
swe,2014,6.79
swe,2015,6.51
swe,2016,6.08
swe,2017,6.23
swe,2018,5.87
swe,2019,5.35
swe,2020,6.34
swe,2021,4.66
swz,2016,41.19
syc,2019,21.09
syc,2020,21.75
tcd,2018,46.38
tgo,2006,13.34
tgo,2011,12.57
tgo,2015,14.24
tgo,2017,31.53
tha,2009,19.99
tha,2010,17.69
tha,2011,17.81
tha,2012,18.78
tha,2013,20.06
tha,2014,17.89
tha,2015,18.01
tha,2016,19.4
tha,2017,19.69
tha,2018,18.92
tha,2019,18.61
tha,2020,18.53
tjk,2003,40.02
tjk,2007,50
tjk,2009,52.37
tls,2010,22.61
tls,2013,19.25
tls,2016,25.69
ton,2018,30.39
tto,2013,58.62
tun,2010,31.24
tun,2014,34.17
tur,2000,56.79
tur,2001,56.57
tur,2002,55.75
tur,2003,55.78
tur,2004,57.61
tur,2005,57.52
tur,2006,53.57
tur,2007,53.95
tur,2008,50.96
tur,2009,47.27
tur,2010,44.43
tur,2011,41.48
tur,2012,39.67
tur,2013,35.87
tur,2014,34.98
tur,2015,33.68
tur,2016,33.5
tur,2017,34.02
tur,2018,33.47
tur,2019,33.99
tur,2020,35.72
tuv,2016,37.41
tza,2001,13.84
tza,2005,11.07
tza,2006,11.07
tza,2012,13.51
tza,2014,19.04
uga,2005,11.3
uga,2009,9.64
uga,2012,19.03
uga,2013,8.38
uga,2017,19.75
ukr,2014,23.93
ukr,2015,20.47
ukr,2016,21.32
ukr,2017,19.65
ury,1998,25.96
ury,1999,26.54
ury,2000,28.14
ury,2001,26.04
ury,2002,26.97
ury,2003,25.78
ury,2004,24.1
ury,2005,23.54
ury,2006,25.31
ury,2007,24.66
ury,2008,23.24
ury,2009,22.6
ury,2010,22.14
ury,2011,21.4
ury,2012,21.91
ury,2013,21.99
ury,2014,22.15
ury,2015,22.3
ury,2016,22.16
ury,2017,21.18
ury,2018,20.78
ury,2019,20.08
usa,1994,18.72
usa,1995,18.65
usa,1996,17.51
usa,1997,16.08
usa,1998,15.24
usa,1999,15.07
usa,2000,15.09
usa,2001,15.31
usa,2002,15.65
usa,2003,15.46
usa,2004,15.33
usa,2005,15.25
usa,2006,14.81
usa,2007,14.34
usa,2008,14.44
usa,2009,15.6
usa,2010,15.57
usa,2011,15.35
usa,2012,14.82
usa,2013,15.22
usa,2014,14.48
usa,2015,13.34
usa,2016,12.81
usa,2017,11.76
usa,2018,11.54
usa,2019,10.93
usa,2020,14.19
usa,2021,12.62
ven,2005,33.45
ven,2006,32.87
ven,2007,31.47
ven,2008,31.67
ven,2009,27.77
ven,2010,25.01
ven,2011,25.58
ven,2012,26.96
ven,2016,27.28
ven,2017,30.9
vnm,2007,12.37
vnm,2009,12.88
vnm,2010,10.69
vnm,2011,10.78
vnm,2012,11.66
vnm,2013,12.33
vnm,2014,12.17
vnm,2015,12.62
vnm,2016,11.84
vnm,2017,12.01
vnm,2018,10.63
vnm,2019,15.09
vnm,2020,14.21
vnm,2021,16.57
vut,2006,24.44
vut,2009,32.41
vut,2010,35.25
vut,2019,38.7
wsm,2012,38.5
wsm,2017,35.57
yem,2014,69.69
zaf,2000,35.41
zaf,2001,39.57
zaf,2002,41.05
zaf,2003,42.08
zaf,2004,41.09
zaf,2005,39.31
zaf,2006,38.6
zaf,2007,37.77
zaf,2013,32.95
zaf,2014,32.46
zaf,2015,31.65
zaf,2016,32.03
zaf,2017,31.66
zaf,2018,32.27
zaf,2019,32.44
zaf,2020,31.58
zaf,2021,32.36
zmb,2008,16.42
zmb,2017,44.72
zmb,2018,33.13
zmb,2019,35.15
zmb,2020,33.09
zwe,2011,22.84
zwe,2014,21.77
zwe,2019,36.17
